11:24,,,17-Jun,,,,"Invested:
",,"4,600,370",12,,,"33,776",,,"31,919",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETF,30,DH,Date,Pos,Qty,EP,CMP,%Chan,Inv.,TP,TVA,TPR,PL,ED,EXP,PR,PP,IV,IP,NT,Qt,7,%Ch,Column 18,Column 19,Column 20,Column 21,Column 22,Column 23,Column 24,Column 25,Column 26,Column 27,Column 28,Column 29,Column 30,Column 31,Column 32,Column 33,Column 34,Column 35,Column 36,Column 37,Column 38,Column 39,Column 40,Column 41,Column 42,Column 43,Column 44,Column 45,Column 46
FMCGIETF,#N/A,#N/A,4-Feb-2025,1,1700,59.94,58.3,-2.74%,101898,67.13,114126,"₹12,228","-2,788",,,,,708561,15.40,7,11950.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SILVERBEES,#N/A,#N/A,31-Jan-2025,0,1200,90.24,103.65,0.00%,,,,,,5-Feb-2025,92.15,2292,2.1,102100,2.22,1,1000.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FMCGIETF,#N/A,#N/A,7-Feb-2025,1,1800,58.14,58.3,0.28%,104652,65.12,117210,"₹12,558",288,,,,,708561,15.40,7,11950.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FMCGIETF,#N/A,#N/A,7-Feb-2025,1,1800,57.96,58.3,0.59%,104328,64.92,116847,"₹12,519",612,,,,,708561,15.40,7,11950.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SILVERBEES,#N/A,#N/A,11-Feb-2025,0,1200,91.28,103.65,,,,,,,12-Feb-2025,92.66,1656,1.5,102100,2.22,1,1000.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUTOIETF,#N/A,#N/A,12-Feb-2025,0,4500,22.92,23.83,,,,,,,12-Feb-2025,22.91,-45,0.0,68068,1.48,1,2800.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEALTHIETF,#N/A,#N/A,14-Feb-2025,1,800,135.61,145.46,7.26%,108488,151.88,121507,"₹13,019","7,880",,,,,317355,6.90,3,2250.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHARMABEES,#N/A,#N/A,14-Feb-2025,1,4800,21.26,22.28,4.80%,102048,23.81,114294,"₹12,246","4,896",,,,,509987,11.09,5,22900.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FINIETF,#N/A,#N/A,14-Feb-2025,1,4000,25.13,30.47,21.25%,100520,28.15,112582,"₹12,062","21,360",,,,,310440,6.75,3,12000.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIFTYBEES,#N/A,#N/A,14-Feb-2025,0,400,257.36,278.9,,,,,,,10-Jun-2025,278.8,8576,8.3,104848,2.28,1,400.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M&M,#N/A,#N/A,,,,,3012,,,,,,,,,0,,0,0.00,0,0.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJFINANCE,#N/A,#N/A,,,,,922.5,,,,,,,,,0,,0,0.00,0,0.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSISTENT,#N/A,#N/A,,,,,6089.5,,,,,,,,,0,,0,0.00,0,0.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYIENT,#N/A,#N/A,,,,,1338,,,,,,,,,0,,0,0.00,0,0.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APOLLOHOSP,#N/A,#N/A,,,,,7067.5,,,,,,,,,0,,0,0.00,0,0.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
